freqs:, 1, 0.0, 0.0, 0.0, 
freqs:, 2, 0.025, 0.0, 0.0, 0.0193882518647376
freqs:, 3, 0.05, 0.0, 0.0, 
freqs:, 4, 0.07500000000000001, 0.0, 0.0, 0.057514800019827596, 0.07503647722950806
freqs:, 5, 0.1, 0.0, 0.0, 0.10001613129928076
freqs:, 6, 0.125, 0.0, 0.0, 0.04434204556998608, 0.12502707766041027
freqs:, 7, 0.15000000000000002, 0.0, 0.0, 0.15002866364991682
freqs:, 8, 0.17500000000000002, 0.0, 0.0, 0.17503998003103716
freqs:, 9, 0.2, 0.0, 0.0, 0.20005093894239273
freqs:, 10, 0.225, 0.0, 0.0, 0.22505824095478677
freqs:, 11, 0.25, 0.0, 0.0, 0.250055081716555
freqs:, 12, 0.275, 0.0, 0.0, 0.2750410497539292
freqs:, 13, 0.30000000000000004, 0.0, 0.0, 0.30000850339105406
freqs:, 14, 0.325, 0.0, 0.0, 0.3249496212157027
freqs:, 15, 0.35000000000000003, 0.0, 0.0, 0.3498536847948624
freqs:, 16, 0.375, 0.0, 0.0, 0.3747057585183726
freqs:, 17, 0.4, 0.0, 0.0, 0.3994856030589304
freqs:, 18, 0.42500000000000004, 0.0, 0.0, 0.42416336399619675
freqs:, 19, 0.45, 0.0, 0.0, 0.4487010459164542
freqs:, 20, 0.47500000000000003, 0.0, 0.0, 0.4730479983632071
freqs:, 21, 0.5, 0.0, 0.0, 0.49713759495077947
