 0.5, 0.488132, 0.489194
 0.5, 0.488157, 0.490418
 0.5, 0.488212, 0.491442
 0.5, 0.488292, 0.49244
 0.5, 0.488368, 0.493184
 0.5, 0.488473, 0.493826
 0.5, 0.488613, 0.494474
 0.5, 0.488751, 0.495004
 0.5, 0.488888, 0.495447
 0.5, 0.489061, 0.495884
 0.5, 0.489241, 0.49623
 0.5, 0.489409, 0.496507
 0.5, 0.489627, 0.496826
 0.5, 0.489827, 0.497083
 0.5, 0.490049, 0.497333
 0.5, 0.490248, 0.497521
 0.5, 0.490484, 0.497709
 0.5, 0.490686, 0.497851
 0.5, 0.49096, 0.498033
 0.5, 0.491214, 0.498182
 0.5, 0.491433, 0.498302
 0.5, 0.491686, 0.49843
 0.5, 0.491911, 0.498533
 0.5, 0.492153, 0.498632
 0.5, 0.492398, 0.498721
 0.5, 0.492652, 0.498812
 0.5, 0.4929, 0.498891
 0.5, 0.493159, 0.49897
 0.5, 0.493372, 0.499032
 0.5, 0.493612, 0.499099
