 0, 0, 0.554882, 0.634839, 0.639078
 0.0454545, 0.0282177, 0.550959, 0.627466, 0.639218
 0.0909091, 0.0559817, 0.549981, 0.600906, 0.64064
 0.136364, 0.0841868, 0.553536, 0.574861, 0.641849
 0.181818, 0.112306, 0.548427, 0.553878, 0.643219
 0.227273, 0.140001, 0.519539, 0.55458, 0.643662
 0.272727, 0.166503, 0.494705, 0.554516, 0.647635
 0.318182, 0.192453, 0.468896, 0.555214, 0.648493
 0.363636, 0.214849, 0.444023, 0.558274, 0.648674
 0.409091, 0.235943, 0.42436, 0.55866, 0.651015
 0.454545, 0.251335, 0.409445, 0.559716, 0.650835
 0.5, 0.256904, 0.403642, 0.560188, 0.651404
